                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                 1.3187,                 1.1102,                 1.2918,                0.40596,                0.23967,                0.22551,                0.09006,                 2.2093,                 2.3569,                 2.0829,              0.0007823,              0.0007823,              0.0007823
                    125,                 1.3438,                  1.152,                 1.3401,                0.43531,                  0.237,                0.22361,                0.08958,                 2.2464,                 2.3859,                 2.0969,              0.0007724,              0.0007724,              0.0007724
                    126,                 1.3832,                 1.1884,                 1.3622,                0.40039,                 0.2595,                0.22918,                 0.0964,                 2.2148,                 2.2254,                 2.1123,              0.0007625,              0.0007625,              0.0007625
                    127,                 1.2701,                  1.099,                 1.2795,                0.41944,                0.24132,                0.22184,                0.09476,                 2.2233,                 2.3293,                 2.1048,              0.0007526,              0.0007526,              0.0007526
                    128,                 1.3116,                 1.1179,                  1.305,                0.46306,                0.21983,                0.21123,                0.09404,                 2.2429,                  2.425,                 2.2029,              0.0007427,              0.0007427,              0.0007427
                    129,                 1.2969,                 1.1106,                 1.2848,                 0.4103,                0.23471,                 0.2045,                 0.0911,                 2.2603,                  2.388,                 2.2006,              0.0007328,              0.0007328,              0.0007328
                    130,                 1.2906,                  1.099,                 1.2793,                0.45703,                0.24628,                0.23265,                0.10129,                 2.2419,                 2.4027,                 2.1546,              0.0007229,              0.0007229,              0.0007229
                    131,                 1.2871,                 1.0953,                 1.2887,                0.45143,                0.25124,                0.23235,                 0.1019,                 2.1904,                 2.2872,                 2.0771,               0.000713,               0.000713,               0.000713
                    132,                 1.2525,                 1.0553,                 1.2689,                0.40506,                0.23306,                0.21382,                0.09397,                 2.1918,                 2.4149,                 2.0709,              0.0007031,              0.0007031,              0.0007031
                    133,                 1.3132,                  1.098,                 1.2848,                0.44804,                0.25089,                0.23953,                0.09871,                 2.2319,                 2.4267,                 2.1018,              0.0006932,              0.0006932,              0.0006932
                    134,                 1.2973,                 1.0976,                 1.3183,                0.46068,                0.23438,                0.22184,                0.09395,                 2.2296,                 2.5749,                 2.1158,              0.0006833,              0.0006833,              0.0006833
